OrderID,OrderDate,OrderStatus,OrderType,TotalPrice,SalepersonID,UserID,DeliverID,StationID
1,2023/1/4,Done,Purchased,2.13,13,23,9,2
2,2023/1/4,Done,Purchased,3.15,15,23,4,2
3,2023/1/14,Done,Purchased,0.33,17,11,2,3
4,2023/1/15,Done,Purchased,2.65,13,14,8,1
5,2023/1/15,Done,Purchased,4.47,15,11,2,2
6,2023/1/27,Done,Purchased,1.61,17,26,1,3
7,2023/1/30,Done,Purchased,4.46,16,20,5,2
8,2023/2/3,Done,Purchased,3.02,15,24,3,1
9,2023/2/20,Done,Purchased,3.98,18,22,9,3
10,2023/2/22,Done,Purchased,1.5,17,4,10,3
11,2023/2/24,Done,Purchased,3.15,17,8,10,1
12,2023/3/6,Done,Purchased,2.36,16,3,8,3
13,2023/3/10,Done,Purchased,1.44,20,7,5,1
14,2023/3/14,Done,Purchased,3.67,15,24,5,2
15,2023/3/21,Done,Purchased,3.99,20,3,10,2
16,2023/3/22,Done,Sold,0,16,5,9,1
17,2023/3/25,Done,Sold,0,16,9,9,2
18,2023/4/2,Done,Purchased,4.87,14,13,7,2
19,2023/4/4,Done,Purchased,2.35,20,17,3,3
20,2023/4/18,Done,Purchased,1.8,19,2,1,3
21,2023/5/9,Done,Purchased,3.63,19,20,11,2
22,2023/5/19,Done,Sold,0,15,7,7,1
23,2023/5/23,Done,Purchased,4.22,15,29,11,1
24,2023/6/2,Done,Purchased,1.46,17,13,10,1
25,2023/6/4,Done,Sold,0,20,21,3,1
26,2023/6/11,Done,Sold,0,15,19,10,2
27,2023/6/16,Done,Sold,0,14,28,10,2
28,2023/7/3,Done,Purchased,4.88,21,6,5,2
29,2023/7/22,Done,Purchased,1.18,17,11,5,3
30,2023/7/25,Done,Purchased,1.21,13,5,8,1
31,2023/8/6,Done,Sold,0,19,18,12,1
32,2023/8/7,Done,Sold,0,20,21,11,2
33,2023/8/7,Done,Purchased,3.68,21,15,7,3
34,2023/8/7,Done,Purchased,4.12,17,1,8,3
35,2023/8/9,Done,Sold,0,20,17,3,3
36,2023/8/9,Done,Sold,0,18,10,3,3
37,2023/8/24,Done,Purchased,2.85,17,5,3,1
38,2023/8/31,Done,Sold,0,19,16,2,1
39,2023/9/1,Done,Purchased,3.74,21,11,6,3
40,2023/9/10,Done,Sold,0,13,7,4,1
41,2023/9/15,Done,Sold,0,15,2,8,1
42,2023/9/22,Done,Sold,0,15,2,3,1
43,2023/10/1,Done,Sold,0,18,13,12,3
44,2023/10/3,Done,Sold,0,19,25,6,1
45,2023/10/11,Done,Purchased,4.28,15,22,10,3
46,2023/10/17,Done,Sold,0,14,17,10,1
47,2023/11/14,Done,Purchased,1.7,13,8,2,2
48,2023/11/17,To be fetched,Purchased,2.39,18,15,12,3
49,2023/11/17,Paid,Purchased,1.91,19,9,11,1
50,2023/11/25,To be fetched,Sold,0,18,8,9,3
51,2023/11/26,To be fetched,Purchased,0.66,19,25,5,1
52,2023/12/3,Paid,Purchased,1.59,19,12,9,3
53,2023/12/22,Paid,Purchased,1.12,15,4,10,2
54,2023/12/22,Paid,Purchased,0.64,13,13,6,3
55,2024/1/1,To be fetched,Purchased,2.6,14,17,12,1
56,2024/1/17,Done,Purchased,2.06,15,18,7,3
57,2024/1/24,Done,Sold,0,14,18,12,1
58,2024/2/3,Done,Sold,0,15,28,3,1
59,2024/2/9,Paid,Purchased,4.92,18,25,10,3
60,2024/2/10,Done,Purchased,4.83,15,30,8,3
61,2024/2/12,Paid,Purchased,3.98,17,24,11,1
62,2024/2/15,Done,Purchased,0.44,13,18,6,2
63,2024/2/29,Paid,Sold,0,21,8,8,1
64,2024/3/3,Paid,Purchased,3.83,16,7,1,1
65,2024/3/9,Done,Sold,0,20,9,6,2
66,2024/3/9,Done,Purchased,2.85,14,13,10,2
67,2024/3/16,To be fetched,Purchased,0.03,19,28,8,1
68,2024/3/21,To be fetched,Sold,0,16,2,2,3
69,2024/3/21,Done,Purchased,3.91,15,1,8,2
70,2024/3/22,Done,Sold,0,19,13,2,2
71,2024/3/22,Done,Purchased,0.36,17,7,10,1
72,2024/3/24,Done,Sold,0,21,18,7,2
73,2024/3/31,To be fetched,Sold,0,18,9,2,2
74,2024/4/3,Paid,Sold,0,20,7,11,1
75,2024/4/14,Done,Sold,0,17,27,1,3
76,2024/4/18,Paid,Purchased,0.35,14,15,9,1
