ProductID,Price,ProductCondition
1,43.11,damaged
2,12.29,used but not damaged
3,3.19,used with annonation
4,12.18,damaged
5,9.35,used but not damaged
6,4,used but not damaged
7,47.96,used with annonation
8,22.58,unused
9,15.48,damaged
10,37,used with annonation
11,10.74,used but not damaged
12,3.52,used but not damaged
13,18.32,used with annonation
14,51.81,unused
15,22.86,used but not damaged
16,24.49,unused
17,17.4,used with annonation
18,62.95,unused
19,21.45,used with annonation
20,26.97,used with annonation
21,15.4,unused
22,15.84,unused
23,11.4,used but not damaged
24,29.93,damaged
25,13.47,used with annonation
26,19.82,used with annonation
27,22.38,unused
28,20.15,damaged
29,33.92,damaged
30,17.44,unused
31,25.89,used but not damaged
32,4.84,damaged
33,14.32,used with annonation
34,7.78,damaged
35,29.89,damaged
36,29.97,used but not damaged
37,15.09,used but not damaged
38,5.07,used with annonation
39,30.29,damaged
40,35.45,unused
41,41.65,used with annonation
42,17.71,used with annonation
43,32.52,damaged
44,49.18,used with annonation
45,14.91,damaged
46,12.43,damaged
47,10.46,used but not damaged
48,22.88,damaged
49,1.78,damaged
50,42.63,used with annonation
51,17.53,used with annonation
52,12.2,used with annonation
53,32.83,used with annonation
54,20.51,used with annonation
55,16.95,used with annonation
56,35.82,used with annonation
57,16.73,used but not damaged
58,19.53,used but not damaged
59,43.17,unused
60,33.37,used with annonation
61,16.05,used but not damaged
62,45.87,used but not damaged
63,25.39,used with annonation
64,18.48,unused
65,24.61,unused
66,21.85,used with annonation
67,16,used with annonation
68,11.12,unused
69,29.46,used with annonation
70,10.01,unused
71,6.49,used with annonation
72,11.42,used but not damaged
73,1.3,unused
74,12.47,damaged
75,21.24,damaged
76,9.29,used but not damaged
77,9.19,used but not damaged
78,37.24,damaged
79,21.33,damaged
80,28.38,unused
81,31.37,unused
82,6.82,unused
83,50.62,damaged
84,16.21,unused
85,11.96,damaged
86,17.39,damaged
87,2.5,used but not damaged
88,35.42,used but not damaged
89,18.41,used but not damaged
90,33.44,unused
91,23.72,unused
92,28.22,used but not damaged
93,44.45,used but not damaged
94,17.16,unused
95,37.36,used but not damaged
96,29.3,damaged
97,36.07,used with annonation
98,39.72,used but not damaged
99,21.13,damaged
100,7.17,used but not damaged
101,11.48,unused
102,15.36,damaged
103,2.63,unused
104,2.17,unused
105,24.86,used with annonation
106,35.85,damaged
107,22.09,used but not damaged
108,22.17,used but not damaged
109,49.96,used but not damaged
110,38.82,unused
111,9.11,damaged
112,20.85,used but not damaged
113,9.81,unused
114,40.42,damaged
115,11.72,used but not damaged
116,2.73,damaged
117,16.96,damaged
118,36.75,used with annonation
119,21.98,unused
120,34.7,unused
121,0.71,damaged
122,6.51,unused
123,18.5,damaged
124,27.11,damaged
125,10.91,used with annonation
126,6.66,used but not damaged
127,26.64,used with annonation
128,7.69,unused
129,22.97,unused
130,22.94,unused
131,1.87,unused
132,14.97,unused
133,18.83,unused
134,52.31,damaged
135,2.09,damaged
136,11.57,unused
137,13.66,used but not damaged
138,11.83,damaged
139,12.85,unused
140,21.38,unused
141,19.25,damaged
142,29.68,used with annonation
143,18.05,used with annonation
144,21.42,unused
145,31.73,unused
146,21.86,used but not damaged
147,26.47,used but not damaged
148,40.16,damaged
149,18.71,used but not damaged
150,20.84,damaged
151,33.23,unused
152,20.75,used with annonation
153,16.67,unused
154,35.81,unused
155,5.44,damaged
156,7.5,damaged
157,36.06,used with annonation
158,38.62,damaged
159,34.29,damaged
160,17.32,unused
161,26.37,unused
162,40.42,used with annonation
163,27.92,used with annonation
164,3.55,damaged
165,27.37,damaged
166,10.42,used but not damaged
167,21.79,unused
168,4.34,unused
169,8.02,unused
170,38.99,damaged
171,19.37,unused
172,28.17,unused
173,9.37,damaged
174,26.55,used with annonation
175,16.58,unused
176,18.93,damaged
177,21.37,unused
178,5.78,damaged
179,7.43,used but not damaged
180,34.76,damaged
181,31.64,damaged
182,29.53,unused
183,10.92,damaged
184,27.7,used with annonation
185,24.37,used with annonation
186,7.12,damaged
187,42.25,used with annonation
188,35.89,used but not damaged
189,53.25,damaged
190,13.08,unused
191,29.66,unused
192,19.26,used with annonation
193,30.34,used with annonation
194,44.64,used but not damaged
195,8.97,damaged
196,8.5,used but not damaged
197,3.79,unused
198,41.04,damaged
199,11.9,used but not damaged
200,37.44,unused
